user_id,session_duration,total_page_clicks,num_trips,num_flights,num_hotels,flight_discount,hotel_discount,hotel_price_per_room_night_usd,checked_bags,seats,nights,rooms,rebooking_ratio,co_booking_ratio,flight_only_ratio,hotel_only_ratio,money_spent_hotel,money_spent_flight,cluster_k7
23557,36.0,82,2.0,0.0,2.0,0.0,0.5,354.0,0.0,0.0,10.0,1.5,0.0,0.0,0.0,1.0,3670.5,0.0,3
94883,34.4,73,2.0,2.0,2.0,0.0,0.0,180.0,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.0,130.0,864.09,6
101486,110.5,131,2.0,1.0,2.0,0.0,0.0,397.0,0.0,0.5,4.0,1.5,0.0,0.5,0.0,0.5,2199.0,189.91,2
101961,55.333333333333336,127,5.0,5.0,5.0,0.2,0.0,680.0,0.4,1.0,3.8,1.0,0.0,1.0,0.0,0.0,2429.0,1237.69,5
106907,89.25,240,1.0,2.0,2.0,0.5,0.5,258.0,2.0,3.0,11.0,3.0,2.0,2.0,0.0,0.0,8514.0,3376.12,6
118043,79.25,164,5.0,3.0,4.0,0.2,0.6,909.0,0.6,1.2,5.5,1.25,0.0,0.4,0.2,0.4,5616.45,2339.29,5
120851,46.4,55,1.0,1.0,1.0,0.0,0.0,182.0,0.0,1.0,11.0,1.0,0.0,1.0,0.0,0.0,2002.0,384.68,0
125845,104.33333333333331,160,3.0,3.0,3.0,0.3333333333333333,0.0,371.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.0,1.0,0.0,0.0,689.0,1646.76,6
133058,45.333333333333336,73,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,423.51,4
149058,40.0,142,5.0,5.0,5.0,0.2,0.0,843.0,0.4,1.2,5.0,1.2,0.0,1.0,0.0,0.0,5373.0,1919.13,5
152583,128.14285714285714,149,1.0,1.0,1.0,0.0,0.0,213.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,426.0,367.83,0
153982,60.0,150,3.0,3.0,3.0,0.0,0.0,621.0,0.3333333333333333,1.0,1.3333333333333333,1.0,0.0,1.0,0.0,0.0,681.0,656.87,0
160754,69.0,86,1.0,1.0,1.0,0.0,0.0,214.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,428.0,93.62,0
164522,70.28571428571429,89,1.0,1.0,1.0,1.0,0.0,233.0,1.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,3029.0,311.9,0
167852,61.5,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1
