,user_id,session_duration,total_page_clicks,cancel_rate,num_trips,num_flights,num_hotels,flight_discount,hotel_discount,flight_discount_amount,hotel_discount_amount,base_fare_usd,hotel_price_per_room_night_usd,checked_bags,seats,nights,rooms,trips_rebooked,co_booked_trips,flight_only_trips,hotel_only_trips,married,has_children,gender_F,gender_M,rebooking_ratio,co_booking_ratio,flight_only_ratio,hotel_only_ratio,cluster_k5
0,23557,36.0,82,0.0,2.0,0.0,2.0,0.0,0.5,0.0,0.125,0.0,354.0,0.0,0.0,10.0,1.5,0.0,0.0,0.0,2.0,1,0,1,0,0.0,0.0,0.0,1.0,1
1,94883,34.4,73,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,864.0899999999999,180.0,0.5,1.5,0.5,1.5,0.0,2.0,0.0,0.0,1,0,1,0,0.0,1.0,0.0,0.0,4
2,101486,110.5,131,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,189.91,397.0,0.0,0.5,4.0,1.5,0.0,1.0,0.0,1.0,1,1,1,0,0.0,0.5,0.0,0.5,4
3,101961,55.333333333333336,127,0.0,5.0,5.0,5.0,0.2,0.0,0.02,0.0,1242.66,680.0,0.4,1.0,3.8,1.0,0.0,5.0,0.0,0.0,1,0,1,0,0.0,1.0,0.0,0.0,4
4,106907,89.25,240,0.125,1.0,2.0,2.0,0.5,0.5,0.0,0.0,3376.12,258.0,2.0,3.0,11.0,3.0,2.0,2.0,0.0,0.0,1,1,1,0,2.0,2.0,0.0,0.0,4
5,118043,79.25,164,0.0,5.0,3.0,4.0,0.2,0.6,0.04,0.0699999999999999,2339.29,909.0,0.6,1.2,5.5,1.25,0.0,2.0,1.0,2.0,0,1,1,0,0.0,0.4,0.2,0.4,3
6,120851,46.4,55,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,384.68,182.0,0.0,1.0,11.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0,0.0,1.0,0.0,0.0,4
7,125845,104.33333333333331,160,0.0,3.0,3.0,3.0,0.3333333333333333,0.0,0.0499999999999999,0.0,1753.32,371.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.0,3.0,0.0,0.0,1,0,1,0,0.0,1.0,0.0,0.0,4
8,133058,45.333333333333336,73,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,423.51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0.0,0.0,1.0,0.0,0
9,149058,40.0,142,0.0,5.0,5.0,5.0,0.2,0.0,0.01,0.0,1928.66,843.0,0.4,1.2,5.0,1.2,0.0,5.0,0.0,0.0,0,1,1,0,0.0,1.0,0.0,0.0,4
