user_id,session_duration,total_page_clicks,num_trips,num_flights,num_hotels,flight_discount,hotel_discount,base_fare_usd,hotel_price_per_room_night_usd,checked_bags,seats,nights,rooms,rebooking_ratio,co_booking_ratio,flight_only_ratio,hotel_only_ratio,cluster_k7
23557,36.0,82,2.0,0.0,2.0,0.0,0.5,0.0,354.0,0.0,0.0,10.0,1.5,0.0,0.0,0.0,1.0,2
94883,34.4,73,2.0,2.0,2.0,0.0,0.0,864.0899999999999,180.0,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.0,1
101486,110.5,131,2.0,1.0,2.0,0.0,0.0,189.91,397.0,0.0,0.5,4.0,1.5,0.0,0.5,0.0,0.5,5
101961,55.333333333333336,127,5.0,5.0,5.0,0.2,0.0,1242.66,680.0,0.4,1.0,3.8,1.0,0.0,1.0,0.0,0.0,6
106907,89.25,240,1.0,2.0,2.0,0.5,0.5,3376.12,258.0,2.0,3.0,11.0,3.0,2.0,2.0,0.0,0.0,1
118043,79.25,164,5.0,3.0,4.0,0.2,0.6,2339.29,909.0,0.6,1.2,5.5,1.25,0.0,0.4,0.2,0.4,6
120851,46.4,55,1.0,1.0,1.0,0.0,0.0,384.68,182.0,0.0,1.0,11.0,1.0,0.0,1.0,0.0,0.0,4
125845,104.33333333333331,160,3.0,3.0,3.0,0.3333333333333333,0.0,1753.32,371.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.0,1.0,0.0,0.0,6
133058,45.333333333333336,73,1.0,1.0,0.0,0.0,0.0,423.51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
149058,40.0,142,5.0,5.0,5.0,0.2,0.0,1928.66,843.0,0.4,1.2,5.0,1.2,0.0,1.0,0.0,0.0,6
152583,128.14285714285714,149,1.0,1.0,1.0,0.0,0.0,367.83,213.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,4
153982,60.0,150,3.0,3.0,3.0,0.0,0.0,656.87,621.0,0.3333333333333333,1.0,1.3333333333333333,1.0,0.0,1.0,0.0,0.0,4
160754,69.0,86,1.0,1.0,1.0,0.0,0.0,93.62,214.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,4
164522,70.28571428571429,89,1.0,1.0,1.0,1.0,0.0,328.32,233.0,1.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,4
167852,61.5,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
171470,54.2,278,1.0,2.0,1.0,1.0,0.5,3376.12,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0
174997,81.0,213,2.0,2.0,2.0,0.0,0.0,590.43,224.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,4
175032,44.5,128,3.0,2.0,3.0,0.0,0.3333333333333333,1109.25,417.0,0.3333333333333333,1.3333333333333333,4.333333333333333,2.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1
181157,85.6,153,3.0,3.0,3.0,0.3333333333333333,0.3333333333333333,1039.4299999999998,487.0,1.0,1.6666666666666667,3.333333333333333,1.6666666666666667,0.0,1.0,0.0,0.0,1
182191,72.28571428571429,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
187212,157.5,128,3.0,3.0,3.0,0.0,0.0,1242.57,615.9300000000003,0.6666666666666666,1.0,2.0,1.0,0.0,1.0,0.0,0.0,6
