user_id,money_spent_hotel,money_spent_flight
23557,3670.5,0.0
94883,130.0,864.09
101486,2199.0,189.91
101961,2429.0,1237.69
106907,8514.0,3376.12
118043,5616.45,2339.29
120851,2002.0,384.68
125845,689.0,1646.76
133058,0.0,423.51
149058,5373.0,1919.13
152583,426.0,367.83
153982,681.0,656.87
160754,428.0,93.62
164522,3029.0,311.9
171470,0.0,3207.31
174997,448.0,590.43
175032,3243.6,1109.25
181157,3839.8,959.03
187212,867.93,1242.57
189676,5001.0,1244.31
190866,1359.0,2081.0
195192,320.0,394.29
204943,13544.0,3305.0
204997,914.8,1334.18
205044,5642.0,2437.57
206011,1055.0,1024.77
216796,4820.0,2954.1
217136,659.0,539.57
220725,1842.0,2422.92
224996,0.0,897.61
226367,1864.0,883.6
228872,1288.0,509.21
229009,474.0,4437.75
229108,0.0,877.22
229330,3193.0,1548.11
232647,2343.0,237.1
249521,369.4,642.02
252835,1460.0,1615.64
258451,4628.0,0.0
264470,2127.0,835.22
276512,100.0,395.69
281952,236.3,684.72
283325,2555.72,407.94
290123,3583.0,4647.96
297546,3542.0,1660.72
298253,0.0,712.42
299476,71.0,192.38
306819,896.0,270.16
312488,0.0,407.1
313724,3973.0,1911.3
316527,4397.88,1739.89
317688,1076.0,1238.74
322867,1323.0,173.04
324191,1577.86,99.74
328590,2596.25,3656.61
330764,1094.0,751.04
330893,750.0,861.61
331039,6353.6,3376.12
334787,864.0,749.45
338086,152.0,981.69
340166,474.0,0.0
343928,348.0,1791.67
347778,3676.0,3187.55
348817,2306.79,1374.62
349132,3516.1,721.06
350648,1110.0,424.36
353271,0.0,408.4
353694,1634.0,461.37
354050,2301.6,1928.78
354260,520.0,1165.01
354311,291.0,1072.89
354950,762.0,460.54
356046,705.0,783.81
357737,3236.1,2176.9
359072,933.0,790.47
359080,1383.0,3070.27
359653,649.2,784.33
361459,165.0,393.91
361759,119.7,1660.59
363535,1993.0,1279.67
365825,4518.0,64.63
371201,0.0,199.47
372970,276.0,1293.3
373489,1224.0,1266.04
374331,6720.0,472.52
374340,0.0,1688.06
374341,6840.0,0.0
375729,1134.86,896.28
375751,999.0,707.56
376159,708.0,367.24
377069,0.0,1853.34
377411,1026.0,990.0
378565,8046.0,687.94
379543,1535.0,1155.12
380434,1426.0,999.34
380436,594.0,113.25
380757,1310.35,495.62
380874,405.6,840.25
380949,2090.6,2211.87
381259,68.0,719.48
381465,3091.0,378.95
382181,672.0,1073.04
382384,0.0,228.63
385689,3545.0,1238.84
386255,2144.0,0.0
386914,577.8,3510.83
387282,3564.0,0.0
387783,2649.0,431.26
388328,4770.9,1240.7
388767,1890.0,372.34
388947,684.0,1196.24
389434,1420.0,2642.24
389662,815.0,631.06
389759,2384.0,3088.63
390811,1278.0,1099.02
392453,1166.0,374.28
395202,2964.0,0.0
395981,1385.93,1777.9
396552,450.0,824.85
399137,6424.0,831.47
399218,246.0,487.9
399799,609.0,1361.2
400275,1052.0,871.94
400582,2549.0,626.16
400899,2230.0,1092.01
401245,722.0,915.17
402332,103.55,767.41
402978,1831.0,1382.52
403881,1792.0,2971.67
404879,5029.0,1046.88
405305,1045.86,1615.6
406210,1326.0,1190.81
407118,6432.0,2129.68
407250,1025.0,1914.57
407275,2414.0,746.95
407434,3186.0,0.0
407642,750.0,469.77
408551,944.0,647.39
409073,803.0,1578.56
411179,6343.0,821.88
411701,316.0,578.27
413128,9592.15,1469.85
413340,1096.0,532.06
413418,210.0,580.67
413658,1593.0,3565.16
414128,4514.84,2590.57
415282,2892.0,1756.97
415381,704.0,451.21
415581,1949.86,1059.77
416319,149.0,147.6
416580,2362.0,1225.35
417679,2098.1,2057.76
418329,2884.7,415.99
418488,2199.0,1411.6
418692,4350.0,4325.07
420648,2676.0,1334.24
420669,2510.0,2930.05
421247,1586.9,709.59
421515,351.05,675.1
421666,211.0,1713.77
421700,2695.8,1043.52
421870,1435.0,2317.86
422066,2910.0,1624.16
423042,2912.8,796.36
423413,9684.0,0.0
424553,1798.0,393.35
425632,2280.0,888.98
425953,1162.85,822.33
425966,372.0,1318.67
426478,963.9,2709.48
427426,134.0,728.65
427506,1506.2,1592.2
428056,1607.0,2377.27
428552,610.0,692.44
428858,7003.44,4065.13
429345,714.0,0.0
429375,753.0,2650.83
430722,3137.4,1428.4
431144,1488.0,227.82
431337,1459.0,1208.66
431602,588.0,3214.05
431746,207.1,550.16
431899,1568.0,857.18
431912,0.0,295.89
432333,1460.0,515.36
432637,1002.0,1292.7
432941,3322.0,2974.43
433080,1612.6,1350.21
433339,2230.0,54.64
433905,3920.0,0.0
434238,44.0,96.92
434623,2642.0,1533.54
435231,916.0,52.88
435596,892.0,803.43
435669,244.0,1438.24
435837,1848.0,0.0
435882,1589.86,723.4
436320,548.0,379.04
436894,931.0,313.81
437069,2403.9,1755.51
437162,1357.65,546.44
437251,281.0,1087.12
437539,1150.0,1692.15
437549,898.0,1010.85
438189,2077.3,2054.23
438406,688.0,2670.32
438551,11605.5,3376.12
438596,1372.0,97.63
438839,2932.0,576.57
438937,928.0,665.34
438985,8592.84,4404.65
439052,2468.0,2058.54
439120,83.7,797.91
439363,2087.0,616.3
440212,116.0,520.81
440655,1142.6,985.98
441200,588.0,545.24
441205,0.0,797.74
441448,889.86,335.04
441457,3241.0,172.44
441982,2156.79,1176.8
442484,0.0,757.42
442718,1264.8,2808.93
442812,850.0,0.0
442819,85.0,714.69
442833,1387.0,2566.24
443305,435.0,206.2
443453,410.3,1404.62
443598,1498.65,2257.45
443652,1551.0,1559.84
444387,0.0,1398.0
444885,333.0,469.48
445351,1138.8,962.11
445515,684.0,1370.94
446124,1428.4,1810.02
446138,5695.0,583.0
446473,304.2,1375.89
446933,697.0,1013.78
447053,383.0,884.74
447591,229.0,245.0
447737,204.0,2087.05
