user_id,session_duration,total_page_clicks,num_trips,num_flights,num_hotels,flight_discount,hotel_discount,base_fare_usd,hotel_price_per_room_night_usd,checked_bags,seats,nights,rooms,rebooking_ratio,co_booking_ratio,flight_only_ratio,hotel_only_ratio,dollars_saved_per_km
23557,36.0,82,2.0,0.0,2.0,0.0,0.5,0.0,354.0,0.0,0.0,10.0,1.5,0.0,0.0,0.0,1.0,0.0
94883,34.4,73,2.0,2.0,2.0,0.0,0.0,864.0899999999999,180.0,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.0,0.0
101486,110.5,131,2.0,1.0,2.0,0.0,0.0,189.91,397.0,0.0,0.5,4.0,1.5,0.0,0.5,0.0,0.5,0.0
101961,55.333333333333336,127,5.0,5.0,5.0,0.2,0.0,1242.66,680.0,0.4,1.0,3.8,1.0,0.0,1.0,0.0,0.0,7.691099331476648e-05
106907,89.25,240,1.0,2.0,2.0,0.5,0.5,3376.12,258.0,2.0,3.0,11.0,3.0,2.0,2.0,0.0,0.0,0.0
118043,79.25,164,5.0,3.0,4.0,0.2,0.6,2339.29,909.0,0.6,1.2,5.5,1.25,0.0,0.4,0.2,0.4,0.0
120851,46.4,55,1.0,1.0,1.0,0.0,0.0,384.68,182.0,0.0,1.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0
125845,104.33333333333331,160,3.0,3.0,3.0,0.3333333333333333,0.0,1753.32,371.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.0,1.0,0.0,0.0,0.0026987958259758
133058,45.333333333333336,73,1.0,1.0,0.0,0.0,0.0,423.51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
149058,40.0,142,5.0,5.0,5.0,0.2,0.0,1928.66,843.0,0.4,1.2,5.0,1.2,0.0,1.0,0.0,0.0,0.0001307338626864
152583,128.14285714285714,149,1.0,1.0,1.0,0.0,0.0,367.83,213.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
153982,60.0,150,3.0,3.0,3.0,0.0,0.0,656.87,621.0,0.3333333333333333,1.0,1.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0
160754,69.0,86,1.0,1.0,1.0,0.0,0.0,93.62,214.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
164522,70.28571428571429,89,1.0,1.0,1.0,1.0,0.0,328.32,233.0,1.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0012953895815814
167852,61.5,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171470,54.2,278,1.0,2.0,1.0,1.0,0.5,3376.12,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0354231273815395
174997,81.0,213,2.0,2.0,2.0,0.0,0.0,590.43,224.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
175032,44.5,128,3.0,2.0,3.0,0.0,0.3333333333333333,1109.25,417.0,0.3333333333333333,1.3333333333333333,4.333333333333333,2.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
181157,85.6,153,3.0,3.0,3.0,0.3333333333333333,0.3333333333333333,1039.4299999999998,487.0,1.0,1.6666666666666667,3.333333333333333,1.6666666666666667,0.0,1.0,0.0,0.0,0.001894319267578
182191,72.28571428571429,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187212,157.5,128,3.0,3.0,3.0,0.0,0.0,1242.57,615.9300000000003,0.6666666666666666,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
189676,68.16666666666667,93,2.0,1.0,2.0,0.0,0.0,1244.31,361.0,1.0,1.5,9.0,2.0,0.0,0.5,0.0,0.5,0.0
190866,88.5,186,5.0,5.0,5.0,0.0,0.0,2081.0,846.0,0.4,1.0,1.8,1.0,0.0,1.0,0.0,0.0,0.0
195192,230.16666666666663,203,1.0,1.0,1.0,0.0,0.0,394.29,160.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
204943,149.0,271,6.0,7.0,7.0,0.2857142857142857,0.1428571428571428,3331.76,1341.0,0.8571428571428571,1.4285714285714286,6.857142857142857,1.4285714285714286,0.3333333333333333,1.1666666666666667,0.0,0.0,0.0003367230319174
204997,84.0,349,3.0,4.0,3.0,0.5,0.5,1454.99,237.0,0.25,1.5,2.6666666666666665,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0030062608395878
205044,61.16666666666666,135,3.0,3.0,3.0,0.3333333333333333,0.0,2465.22,748.0,0.3333333333333333,2.0,4.666666666666667,2.0,0.0,1.0,0.0,0.0,0.0005484156350657
206011,61.0,156,4.0,4.0,3.0,0.25,0.25,1046.59,340.0,0.25,1.0,2.6666666666666665,1.0,0.0,0.75,0.25,0.0,0.0003177981973293
216796,56.6,126,1.0,2.0,2.0,1.0,0.5,3376.12,482.0,2.0,2.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0440493386054499
217114,42.6,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217136,73.4,106,2.0,1.0,2.0,0.0,0.0,539.57,473.0,0.0,0.5,2.0,1.0,0.0,0.5,0.0,0.5,0.0
220725,44.5,296,4.0,5.0,4.0,0.2,0.4,2422.92,500.0,0.2,1.0,3.75,1.0,0.5,1.0,0.25,0.0,0.0
224996,83.5,102,2.0,2.0,1.0,0.0,0.0,897.61,231.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0
